Numer RSPO,Nazwa,Kod terytorialny województwo,Kod terytorialny powiat,Kod terytorialny gmina,Kod terytorialny miejscowość,Kod terytorialny ulica,Województwo,Powiat,Gmina,Ulica,Numer budynku,Numer lokalu,Adres full,Kod pocztowy,Telefon,E-mail,Strona www,Publiczność status,Kategoria uczniów,Imię i nazwisko dyrektora,Liczba uczniów
22477,"""ABOR"" PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE WE WROCŁAWIU",2,264,264039,986544,15498,DOLNOŚLĄSKIE,Wrocław,Wrocław-Krzyki,ul. Pabianicka,2,,Wrocław ul. Pabianicka 2 ,53-339,713670246,liceum@abor.com.pl,www.liceum.abor.com.pl,niepubliczna,Dzieci lub młodzież,ANNA MAKOWSKA,55
128655,"""ADAŚ I OLA IDĄ DO PRZEDSZKOLA""- PUNKT PRZEDSZKOLNY W GMINIE LEONCIN""",14,1414,1414032,4162,,MAZOWIECKIE,nowodworski,Leoncin,,40,,nowodworski  40 ,05-155,501052392,dankadominiak@op.pl,,publiczna,Dzieci lub młodzież,DANUTA DOMINIAK,24
128458,"""AKADEMIA DZIECKA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA",14,1418,1418032,4972,17248,MAZOWIECKIE,piaseczyński,Lesznowola,ul. Postępu,102,,piaseczyński ul. Postępu 102 ,05-515,608622922,sekretariat@akademiadziecka.waw.pl,www.akademiadziecka.waw.pl,niepubliczna,Dzieci lub młodzież,JADWIGA GOLEC,107
128456,"""AKADEMIA DZIECKA"" NIEPUBLICZNE PRZEDSZKOLE",14,1418,1418032,4972,17248,MAZOWIECKIE,piaseczyński,Lesznowola,ul. Postępu,102,,piaseczyński ul. Postępu 102 ,05-515,608622922,sekretariat@akademiadziecka.waw.pl,www.akademiadziecka.waw.pl,niepubliczna,Dzieci lub młodzież,JADWIGA GOLEC,74
122197,"""AKADEMIA MAŁEGO CZŁOWIEKA""",24,2417,2417042,55580,7123,ŚLĄSKIE,żywiecki,Jeleśnia,ul. Jana Pawła II,1,,żywiecki ul. Jana Pawła II 1 ,34-335,608533829,lucyna.krzyzowska@opoczta.pl,,niepubliczna,Dzieci lub młodzież,LUCYNA KRZYŻOWSKA,34
124351,"""AKADEMIA MAŁEGO CZŁOWIEKA""NIEPUBLICZNY SPECJALNY PUNKT PRZEDSZKOLNY",24,2413,2413092,225236,11926,ŚLĄSKIE,tarnogórski,Zbrosławice,ul. 1 Maja,4,,tarnogórski ul. 1 Maja 4 ,42-677,693205040,biuro@autyzm-droga.pl,,niepubliczna,Dzieci lub młodzież,Aleksandra Kosz,12
128936,"""AKADEMIA PITAGORASA"" PUBLICZNA SZKOŁA PODSTAWOWA W BARANOWIE",30,3021,3021172,597280,16455,WIELKOPOLSKIE,poznański,Tarnowo Podgórne,ul. Platynowa,1,,poznański ul. Platynowa 1 ,62-081,733186986,j.cebernik@gmail.com,,publiczna,Dzieci lub młodzież,JOANNA CEBERNIK,295
22593,"""AKADEMIA PRZEDSZKOLAKA"" NIEPUBLICZNE PRZEDSZKOLE",2,208,208021,984077,18725,DOLNOŚLĄSKIE,kłodzki,Kłodzko,ul. Rodzinna,61,,kłodzki ul. Rodzinna 61 ,57-300,502087922,termit26@poczta.fm,,niepubliczna,Dzieci lub młodzież,MAŁGORZATA MAJOWICZ,49
32020,"""AKADEMIA PRZEDSZKOLAKA"" PRZEDSZKOLE NIEPUBLICZNE",24,2466,2466011,940000,9582,ŚLĄSKIE,Gliwice,Gliwice,ul. Tadeusza Kościuszki,25,,Gliwice ul. Tadeusza Kościuszki 25 ,44-100,32-445-02-20,amatyas@poczta.onet.pl,,niepubliczna,Dzieci lub młodzież,AGATA MATYAS,128
77963,"""AKADEMIA PRZEDSZKOLAKA"" PRZEDSZKOLE PRYWATNE BEATA MATUSZAK",6,608,608011,956313,11926,LUBELSKIE,lubartowski,Lubartów,ul. 1 Maja,35,,lubartowski ul. 1 Maja 35 ,21-100,505005027,kontakt@a-przedszkolaka.pl,,niepubliczna,Dzieci lub młodzież,BEATA MATUSZAK,90
